conjunct,component_count,component_0_bn,component_1_bn,component_2_bn,component_3_bn,component_0_en,component_1_en,component_2_en,component_3_en,example
ক্ক,2,ক,ক,,,k,k,,,আক্কেল
ক্ট,2,ক,ট,,,k,T,,,ডক্টর
ক্ট্র,3,ক,ট,র,,k,T,r,,অক্ট্রয়
ক্ত,2,ক,ত,,,k,t,,,রক্ত
ক্ত্র,3,ক,ত,র,,k,t,r,,বক্ত্র
ক্ন,2,ক,ন,,,k,n,,,বাচক্নবী
ক্ব,2,ক,ব,,,k,w,,,পক্ব
ক্ম,2,ক,ম,,,k,m,,,রুক্মিণী
ক্য,2,ক,য,,,k,y,,,বাক্য
ক্র,2,ক,র,,,k,r,,,চক্র
ক্ল,2,ক,ল,,,k,l,,,ক্লান্তি
ক্ষ,2,ক,ষ,,,k,Sh,,,পক্ষ
ক্ষ্ণ,3,ক,ষ,ণ,,k,Sh,N,,তীক্ষ্ণ
ক্ষ্ব,3,ক,ষ,ব,,k,Sh,w,,ইক্ষ্বাকু
ক্ষ্ম,3,ক,ষ,ম,,k,Sh,m,,লক্ষ্মী
ক্ষ্ম্য,4,ক,ষ,ম,য,k,Sh,m,y,সৌক্ষ্ম্য
ক্ষ্য,3,ক,ষ,য,,k,Sh,y,,লক্ষ্য
ক্স,2,ক,স,,,k,s,,,বাক্স
খ্য,2,খ,য,,,kh,y,,,সখ্য
খ্র,2,খ,র,,,kh,r,,,খ্রিস্টান
গ্‌ণ,2,গ,ণ,,,g,N,,,রুগ্‌ণ
গ্ধ,2,গ,ধ,,,g,dh,,,মুগ্ধ
গ্ধ্য,3,গ,ধ,য,,g,dh,y,,বৈদগ্ধ্য
গ্ধ্র,3,গ,ধ,র,,g,dh,r,,দোগ্ধ্রী
গ্ন,2,গ,ন,,,g,n,,,ভগ্ন
গ্ন্য,3,গ,ন,য,,g,n,y,,অগ্ন্যাস্ত্র
গ্ব,2,গ,ব,,,g,w,,,দিগ্বিজয়ী
গ্ম,2,গ,ম,,,g,m,,,যুগ্ম
গ্য,2,গ,য,,,g,y,,,ভাগ্য
গ্র,2,গ,র,,,g,r,,,গ্রাম
গ্র্য,3,গ,র,য,,g,r,y,,ঐকাগ্র্য
গ্ল,2,গ,ল,,,g,l,,,গ্লানি
ঘ্ন,2,ঘ,ন,,,gh,n,,,কৃতঘ্ন
ঘ্য,2,ঘ,য,,,gh,y,,,অশ্লাঘ্য
ঘ্র,2,ঘ,র,,,gh,r,,,ঘ্রাণ
ঙ্ক,2,ঙ,ক,,,Ng,k,,,অঙ্ক
ঙ্‌ক্ত,3,ঙ,ক,ত,,Ng,k,t,,পঙ্‌ক্তি
ঙ্ক্য,3,ঙ,ক,য,,Ng,k,y,,অঙ্ক্য
ঙ্ক্ষ,3,ঙ,ক,ষ,,Ng,k,Sh,,আকাঙ্ক্ষা
ঙ্খ,2,ঙ,খ,,,Ng,kh,,,শঙ্খ
ঙ্খ্য,3,ঙ,খ,য,,Ng,kh,y,,সাঙ্খ্যমান
ঙ্গ,2,ঙ,গ,,,Ng,g,,,অঙ্গ
ঙ্গ্য,3,ঙ,গ,য,,Ng,g,y,,ব্যঙ্গ্যার্থ
ঙ্ঘ,2,ঙ,ঘ,,,Ng,gh,,,সঙ্ঘ
ঙ্ঘ্য,3,ঙ,ঘ,য,,Ng,gh,y,,দুর্লঙ্ঘ্য
ঙ্ঘ্র,3,ঙ,ঘ,র,,Ng,gh,r,,অঙ্ঘ্রি
ঙ্ম,2,ঙ,ম,,,Ng,m,,,বাঙ্ময়
